AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,AUROC_CI_lower,AUROC_CI_upper,subgroup,n
0.6559,0.3017,0.1685,0.4359,0.8723,0.4146,0.8817,0.425,0.549,0.747,Mexican_American,227
0.7609,0.356,0.1479,0.2812,0.8889,0.36,0.8477,0.3158,0.669,0.837,Other_Hispanic,176
0.7486,0.4972,0.1887,0.5204,0.7929,0.4822,0.8168,0.5006,0.723,0.775,NH_White,1542
0.7192,0.3446,0.1458,0.3037,0.89,0.3504,0.8674,0.3254,0.672,0.763,NH_Black,826
0.652,0.1569,0.1433,0.3333,0.8421,0.1818,0.9231,0.2353,0.472,0.838,NH_Asian,63
0.7096,0.4719,0.2173,0.4615,0.725,0.3529,0.8056,0.4,0.556,0.844,Other_Race,53
0.678,0.4079,0.2142,0.4876,0.7784,0.437,0.8116,0.4609,0.623,0.73,Edu_Less_HS,464
0.7829,0.5134,0.1574,0.5125,0.8315,0.4686,0.8547,0.4896,0.743,0.821,Edu_HS,712
0.7402,0.3831,0.1551,0.4015,0.8643,0.4046,0.8628,0.403,0.694,0.783,Edu_Some_College,707
0.81,0.4787,0.1396,0.4468,0.892,0.5,0.8697,0.4719,0.763,0.853,Edu_College_Plus,483
0.6547,0.4049,0.2099,0.4017,0.7901,0.3966,0.7937,0.3991,0.611,0.696,PIR_Low,896
0.7282,0.4491,0.1915,0.5,0.794,0.4498,0.825,0.4736,0.691,0.764,PIR_Mid,889
0.8294,0.4698,0.1108,0.471,0.915,0.5039,0.9042,0.4869,0.793,0.866,PIR_High,891
