subgroup,n,auroc,ci_lower,ci_upper,sort_key
Age <50,6917,0.6384,0.5997256576356764,0.6750995160376245,0
Age 50-64,4081,0.7194,0.689651097758436,0.7486931758323533,1
Age ≥65,4152,0.6979,0.6751283139111489,0.7218052225195406,2
Female,8000,0.737,0.7142442163342351,0.7599218395648518,3
Male,7150,0.8068,0.786112645272017,0.8266216889387944,4
Mexican American,1492,0.7123,0.655245158463135,0.764420471922941,5
Other Hispanic,1564,0.7332,0.6840665245224414,0.7793648054028837,6
NH White,6710,0.7783,0.7563207747410537,0.7989321409822658,7
NH Black,3122,0.7614,0.7301242822106753,0.79134956247765,8
NH Asian,1417,0.7739,0.7058814457908584,0.829232787526185,9
Other/Multi,845,0.8194,0.7749168663808601,0.859663037264855,10
