,Overall,CKD = 0,CKD = 1
N (unweighted),15150,12444,2706
Weighted N (millions),248.62,213.99,34.62
Age (mean ± SD),47.7 ± 17.9,45.6 ± 17.2,60.3 ± 17.5
Female (%),51.6,51.0,55.6
NH White (%),61.1,61.2,60.7
NH Black (%),11.2,10.5,15.1
Hispanic (%),16.6,17.1,12.9
PIR (mean ± SD),3.06 ± 1.64,3.11 ± 1.65,2.72 ± 1.58
BMI (mean ± SD),29.6 ± 7.3,29.5 ± 7.3,30.7 ± 7.6
"SBP (mmHg, mean ± SD)",121.2 ± 17.1,119.8 ± 15.7,129.6 ± 22.4
"DBP (mmHg, mean ± SD)",74.1 ± 10.9,74.0 ± 10.5,74.7 ± 13.5
Self-rep HTN (%),31.2,26.6,60.0
Self-rep DM (%),11.6,8.2,32.9
Self-rep HF (%),2.8,1.6,10.1
Self-rep stroke (%),3.6,2.7,8.9
